id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,lo_ci,up_ci,or,or_lci95,or_uci95
ay0SJh,ebi-a-GCST009541,Heart failure || id:ebi-a-GCST009541,exposure,Inverse variance weighted,9,0.369491497009675,0.0964294752470415,0.0001272465004842,0.180489725525474,0.558493268493877,1.44699862442505,1.19780381461248,1.74803669310853
ay0SJh,ebi-a-GCST009541,Heart failure || id:ebi-a-GCST009541,exposure,MR Egger,9,0.842750765944811,0.170111053459313,0.00164853486572307,0.509333101164559,1.17616843072506,2.32274753186,1.6641809844275,3.24192870081237
ay0SJh,ebi-a-GCST009541,Heart failure || id:ebi-a-GCST009541,exposure,Weighted median,9,0.454920057279937,0.0934915903110268,1.13941261297341e-06,0.271676540270325,0.63816357428955,1.57604738448286,1.31216250093258,1.89300132900452
